source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmdec,phot_g_mean_mag,bp_rp,radial_velocity,radial_velocity_error,phot_variable_flag,teff_val,a_g_val
1360113239523748608,258.926192044811,0.05239631489742514,42.3657380190118,0.062225984443295884,5.447917603010068,0.0646209728281917,-1.7640779649828644,13.002062418360502,16.5942,2.589655,,,"NOT_AVAILABLE",3759.74,0.232
1360113784982850816,259.0399413618041,0.08297148157556125,42.25820554656737,0.09510967138854111,5.451243048854177,0.10097241358804347,2.009151974823274,-50.09895978528722,17.759825,2.732193,,,"NOT_AVAILABLE",,
1360127563239079808,259.4358488840613,0.2378042236403288,42.417887549235665,0.2573790655375511,7.470260170142389,0.26652221815662136,5.925571656522427,-35.27197565508689,19.19965,2.9434128,,,"NOT_AVAILABLE",,
1360097773344574592,259.18636252979985,0.019034921174238818,42.17568878826881,0.021897751641582964,5.362387006208908,0.022977090055385396,-26.183178442172363,-51.22226086501823,12.185655,1.0366154,7.56537959639744,0.963481560673584,"NOT_AVAILABLE",5127.3335,0.008
1360107295288989696,258.90600607271506,0.02857876591600024,42.180244706537145,0.030278078728395677,5.777011919149273,0.03349239277266475,-17.33971456399223,-58.59444911359665,15.56916,2.229926,,,"NOT_AVAILABLE",3527.5,0.172
1360124505221018112,259.5610674244997,0.02382578133981292,42.33993642072895,0.02927812435472863,8.85800862081054,0.028104837077978003,26.413733402469866,-4.24933460054633,14.528624,2.3182945,,,"NOT_AVAILABLE",3605.0,0.383
1360129938356716160,259.6474262410796,0.08516247590753215,42.553829282878034,0.08842297640853362,5.200512853398172,0.08784348753132173,32.68524169617391,57.393892077887074,17.177277,3.2226524,,,"NOT_AVAILABLE",,
1360117397052152832,259.2435253787424,0.018621486401709023,42.43513479748319,0.02099860760668225,6.633078922761207,0.02252355516781621,-35.16062238709176,24.769805854854695,11.347285,1.0090399,-53.07251804647165,0.6938261585587635,"NOT_AVAILABLE",5094.4,0.194
1360107467087674880,258.9702017053776,0.22276289511161515,42.186731173563075,0.25956750423738745,8.127202979844652,0.27536634232430734,7.971964336789227,13.004941313586915,19.393202,3.8010273,,,"NOT_AVAILABLE",,
1360126742900971776,259.36491915387995,0.03498496631710868,42.3399641157027,0.03976914030741717,9.262308101009248,0.03981671565851801,8.142020715501191,15.691496844081758,15.882958,2.535966,,,"NOT_AVAILABLE",3666.86,0.0987
