source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,phot_g_mean_mag,bp_rp,radial_velocity,radial_velocity_error,phot_variable_flag,teff_val,a_g_val
4421573659053871232,229.62801696001173,1.2940389045398215,2.128197606426115,0.5510812398087087,,,19.046951,,,,"NOT_AVAILABLE",,
4421571906710202752,229.6813886504629,0.037519101761675354,2.0623361799458073,0.03988430584408787,-0.03257259248632508,0.05114879863806678,15.242266,1.0548658,,,"NOT_AVAILABLE",5159.1323,
4421572834422528512,229.59671397826247,0.4879530355365302,2.0709925779819733,0.6433796379208562,,,18.887115,0.70469475,,,"NOT_AVAILABLE",,
4421572559543632896,229.67585682124684,1.7259512860604889,2.0901983418228984,10.370999590787324,,,18.903166,,,,"NOT_AVAILABLE",,
4421572147224080128,229.65368515994538,1.5944206352574095,2.0738592951340014,0.4320711951098665,,,17.8884,,,,"NOT_AVAILABLE",,
4421572486530313088,229.68075329429752,0.13910316934500075,2.080281052880908,0.1583361914400686,0.15342351434614243,0.20787659970612754,17.90631,0.7339535,,,"NOT_AVAILABLE",,
4421571902414760704,229.680622725881,0.1577411899358474,2.059936180815667,0.14700094341222555,-0.13050031214343094,0.20688942130442708,17.749496,0.74432945,,,"NOT_AVAILABLE",,
4421572765702386944,229.61639511820692,23.33157929369994,2.0560071265256012,40.11816537346668,,,19.385122,,,,"NOT_AVAILABLE",,
4421572971858492544,229.62980760573166,2.7369461428939306,2.0917778442198505,4.1083632037973885,,,18.00918,,,,"NOT_AVAILABLE",,
4421572559543633024,229.67609858618536,5.9384319122011116,2.0900566743942464,14.83625493328128,,,19.14437,,,,"NOT_AVAILABLE",,
4421573379883546624,229.64672812801652,2.4919296040727965,2.113064660385274,1.2334908128348971,,,17.430048,0.61603737,,,"NOT_AVAILABLE",,
4421572009788132224,229.61859919188353,23.400290019765414,2.055486873302303,40.09804387749932,,,18.761719,,,,"NOT_AVAILABLE",,
4421571941068958336,229.6336348137815,1.5486332990925684,2.0367236469409504,0.9409433596818401,,,19.574028,,,,"NOT_AVAILABLE",,
