bp_rp,abs_photo_mag,dist
,25.971617360792013,5.39991167985606E-4
0.8425865,26.21723186509165,5.412915169971742E-4
,25.48445145419001,5.930262632336232E-4
,25.850208028796825,6.118889957642715E-4
,26.70230282042891,6.605067580460596E-4
,25.986150060539273,6.91196695097866E-4
,25.710180495845574,7.180359647451945E-4
,25.318014922234433,7.258245899469188E-4
,24.899616817995778,7.303133736221362E-4
,25.581747743832125,7.525372984084552E-4
,24.719027014399934,8.067251620926832E-4
,24.955492017211213,8.332080927465173E-4
,25.15135569151463,8.392229366537681E-4
1.4886551,25.52535906283981,8.580698137302415E-4
,25.616709357559202,8.743777512117814E-4
,24.679335178277118,8.841637680962708E-4
,24.977696917781785,9.179241427550754E-4
,25.68825414526814,9.512699125606137E-4
1.2265911,24.875952293549066,9.581724537986412E-4
1.0353088,25.616922994384673,9.69918024274183E-4
,24.412648010676346,9.798243403329218E-4
0.8967285,24.676610328286564,0.0010163872793208107
,24.22369035569177,0.0010206138962354872
,24.495300410970597,0.0010319015910201196
,24.69143744194769,0.0010323029344508838
0.8374996,24.559225843173827,0.0010519802812730306
,24.391862046549367,0.0010607373123833932
,24.296902172555,0.0010791270238515675
,25.166328912136258,0.0010934708257184327
,24.185598689587096,0.0010938080855221908
1.8953896,24.251788676138887,0.0010942139726334893
,25.31881415694836,0.0011003412411868419
,24.4494768127137,0.001118282285353415
,24.38380301334293,0.0011247909413716235
,24.812133799524176,0.0011337461793602137
1.5880413,24.46107237508407,0.0011401899026341408
,24.940025884672576,0.0011500444081818438
2.5175152,24.372567619977882,0.0011629754631474344
,23.969159347555944,0.0011664252495504075
,24.290390866212924,0.0011705565313867023
,24.533618273509678,0.00118134193026297
,23.998721509307842,0.0011851051996172892
1.9304409,25.310265554419917,0.0011861363988340857
,24.69214111398654,0.0011863460678354692
,25.00957585601587,0.0011890028956761853
,24.37266770133056,0.0012058153866037961
,24.51141211731205,0.0012340547943136858
,23.48840209825244,0.0012390084836507997
,24.1310338277463,0.001248440502843407
,24.117424976529353,0.0012560850547163414
,24.295005451925547,0.001256171874112381
,23.84871695328361,0.0012664538629352478
,25.07228186310474,0.001268642306589793
,24.45592650549774,0.0012733397803235196
,24.995993035259886,0.001278556415496602
,23.727911357658122,0.0012810261264879356
,24.19826137325827,0.0012826284496418115
,23.95761910167231,0.0012935270389697186
,23.62646266025258,0.0012947300837646187
,24.378930583866047,0.0013003741103662138
3.796496,13.381832719039723,0.00130123555577775
,23.706520511285934,0.0013022332713718329
,24.48157438628019,0.001304830716831436
,23.851958811040248,0.0013134110241394324
,24.06012211550528,0.00134651298852447
,24.24057445776517,0.0013482420718847474
1.5783978,24.51296724101536,0.0013526662530837753
,23.76294614008787,0.0013612324768757756
,23.809899978435144,0.0013933315587194967
,23.66476202350705,0.001405468574961203
,23.820891965542135,0.0014131620072965867
,23.817975251610548,0.0014297403815934264
,23.715359989130157,0.0014489532062191598
,23.97858323127333,0.0014573854534609728
,24.000484740833215,0.0014699644952979637
,24.353159064938538,0.001477812537378756
1.1350498,24.088203745591315,0.0014812445586319155
0.7023449,24.76301917126988,0.0014816197974582487
,24.285906140009526,0.0014830567726949462
1.0786934,24.774350223802088,0.001487177127842705
,23.805807441026445,0.0014978133536717748
,24.90870404488987,0.0015114650420375612
1.9071579,23.45880274268384,0.0015243576112445203
0.8932476,24.355755951602788,0.0015252914040099516
2.0104465,23.820304789361234,0.0015320919177524487
,24.039667354471618,0.0015362448853933975
1.3074665,23.677427800089742,0.0015369222260693375
1.8198204,24.840512498666897,0.001540940490213995
,23.491263700488872,0.0015415347334832635
,23.708693479605223,0.0015426538085732398
,24.014764191587698,0.001556972991159777
2.0297108,23.316272489767922,0.0015621247628165497
,23.708148287711886,0.0015657901715411472
1.8693829,23.125651929478686,0.0015682344716798817
,23.443362836635636,0.0015694981117525511
,23.767210563365687,0.0015725954512647879
1.3939228,24.09379087677623,0.0015820302041960185
1.0945778,23.74146145131323,0.0015913848889225909
1.5629349,23.945123023608144,0.001592838839575593
,24.25167758796178,0.0016016200685196207
,23.847001485961194,0.0016036426823551626
,24.568917212130046,0.001611461370726988
,24.03218037160829,0.0016136407800243925
,23.2623220944499,0.0016141375821980936
,23.83356794864715,0.001615175257275462
,23.853011159324964,0.001615731713820627
1.0619335,24.001851528808686,0.0016162878260043792
,24.260763324830208,0.0016195502357896196
1.2856846,24.10817238451733,0.0016351300150275454
,24.002191235903865,0.0016384635463106735
,23.72283533969884,0.0016436050407772657
,24.392938032398675,0.0016481925397702937
1.0942173,23.52560561059582,0.0016501104043538887
,23.41445456530502,0.0016631017674419392
,23.600185387535674,0.0016644792394354586
,24.240264207301852,0.001675495848346971
,23.622762992572184,0.001675734982525412
,23.535685063919527,0.0016758908842105461
,23.04760895464277,0.0017043451124131338
,23.499543085764163,0.00170653722630196
,23.21850813604323,0.0017088820956459522
,23.89673681034586,0.0017105488124882968
,23.25065020504954,0.0017228447712803754
,23.48079691202499,0.0017361825767449985
,23.391882500303904,0.0017370211643591735
1.691721,23.372242758022786,0.0017392194402805938
,23.676554067419875,0.001739390902761631
,24.086666513604268,0.001746568050110689
,23.216520674970273,0.0017624954689375544
,23.620176403262025,0.0017726121486261568
,22.87730447719749,0.0017761326552884569
,23.213322782449964,0.0017764410111636888
,24.207295718986092,0.0017828483505429229
,23.771292632380614,0.0017941957783048513
,23.204500149599177,0.0017980728822608223
,22.22021780962649,0.0017985095030351227
,24.349700614510972,0.0018005417659172258
,23.980468737201633,0.0018072184563312076
,23.092706464852732,0.0018084810489554012
,23.794094285905647,0.0018170933908928317
